,Currency_Indonesia,Currency_Thailand,Currency_Malaysia,Currency_Philippines,Currency_Singapore,Currency_Vietnam,Currency_Euro,Currency_GBP,Currency_JPY,Currency_CNY
Currency_Indonesia,1.0,0.27184816000916034,0.13464616129263632,0.19978287686677143,0.3799732485472329,0.07196036541237234,-0.26298132793715295,-0.24480626182466653,0.15148057419179695,0.20321134100477606
Currency_Thailand,0.27184816000916034,1.0,0.13979168254901497,0.22840842704065697,0.5036391660647439,0.01013248113918682,-0.38541391583314766,-0.3320346143312308,0.2927161060417484,0.28417110277732416
Currency_Malaysia,0.13464616129263632,0.13979168254901497,1.0,0.09216140818467308,0.22737756910488865,0.04079939700163067,-0.13689848863292253,-0.12112529584435466,0.09240504192285984,0.1542807946022431
Currency_Philippines,0.19978287686677143,0.22840842704065697,0.09216140818467308,1.0,0.3010093532426598,-0.0009615849459625818,-0.1960211477055014,-0.17939525400656176,0.1210447939256077,0.22118533542552118
Currency_Singapore,0.3799732485472329,0.5036391660647439,0.22737756910488865,0.3010093532426598,1.0,-0.08805652182531691,-0.6778634479325182,-0.5917319419362955,0.43663822558918697,0.3743622840230447
Currency_Vietnam,0.07196036541237234,0.01013248113918682,0.04079939700163067,-0.0009615849459625818,-0.08805652182531691,1.0,0.10355103359055412,0.06745333138198267,-0.019180810779392744,0.051999921492634577
Currency_Euro,-0.26298132793715295,-0.38541391583314766,-0.13689848863292253,-0.1960211477055014,-0.6778634479325182,0.10355103359055412,1.0,0.6044721916902532,-0.4140672898507603,-0.2616159252069836
Currency_GBP,-0.24480626182466653,-0.3320346143312308,-0.12112529584435466,-0.17939525400656176,-0.5917319419362955,0.06745333138198267,0.6044721916902532,1.0,-0.2557771311464025,-0.2550058157067623
Currency_JPY,0.15148057419179695,0.2927161060417484,0.09240504192285984,0.1210447939256077,0.43663822558918697,-0.019180810779392744,-0.4140672898507603,-0.2557771311464025,1.0,0.17486780247357836
Currency_CNY,0.20321134100477606,0.28417110277732416,0.1542807946022431,0.22118533542552118,0.3743622840230447,0.051999921492634577,-0.2616159252069836,-0.2550058157067623,0.17486780247357836,1.0
