,Annual_Return,Annual_Volatility,Sharpe_Ratio,Currency_Volatility,Volume_Growth,ETF_Annual_Return,ETF_Tracking_Error,Max_Drawdown,Beta_to_IHSG
Indonesia,0.04294295622139229,0.14590098520542447,0.2943294465142221,0.09924711295167105,30.730102521758763,0.02029094040538421,0.19194758211086804,-0.41135250801844797,0.9999999999999999
Thailand,0.0004471840032778282,0.13920553587843437,0.003212401004428055,0.07309926784507766,-72.4030249705949,0.02365502192956702,0.15226734532930283,-0.44291339523497214,0.3607150489704193
Malaysia,-0.0028328589719699647,0.10641314598626055,-0.02662132526685873,0.07027925174937592,47.59861416733726,0.005179575275845712,0.15101706130403436,-0.35640945127361295,0.2933309412486514
Philippines,0.007750980789090789,0.18242336360296438,0.042488969811785855,0.08454468579825629,-48.27001248279614,-0.004376395248722745,0.18421644965781525,-0.48961098563002525,0.5184780706556108
Singapore,0.021284624699817328,0.13053647400532087,0.1630549994704908,0.048554078248367244,53.748767263150874,0.04110382865774172,0.14076363990933938,-0.38221107013302835,0.3715779982759024
S&P500,0.11905606120240766,0.1747789743361242,0.6811806835154345,,12.732361940677794,,,-0.3392496000265328,0.24244465419250522
NASDAQ,0.1612153779842702,0.20918200232473672,0.7706943054020367,,262.9878082882563,,,-0.3639527990912008,0.23878969051702043
DOW,0.10090392461769705,0.17199738555819027,0.5866596418906563,,338.20208988500553,,,-0.3708617136959431,0.24668783395207955
FTSE,0.03338256668655843,0.15446673997027105,0.21611491699108365,,21.064316205987808,,,-0.3660552329617603,0.26939301723201464
DAX,0.08799314302589277,0.18936224397380855,0.4646815604807865,,-35.10372373837709,,,-0.38779389651624496,0.30176002580059086
CAC40,0.07054688467299981,0.18556336795700226,0.3801767851580844,,-44.110092190106165,,,-0.38558460412501916,0.326957647921018
NIKKEI,0.09763829642882936,0.1996747490758916,0.4889866990228162,,-13.307173831070894,,,-0.3179889650850197,0.34758229836695576
HSI,0.005533831208401324,0.21084740746118238,0.02624566872808298,,140.06463073363165,,,-0.5570077249304998,0.43484607436164613
CSI300,-0.053168658689390524,0.17678968357152036,-0.30074525625745074,,,,,-0.40856623833006883,0.08270486721300652
KOSPI,0.0359007450119578,0.16242050741042974,0.2210357890413317,,34.99239908789056,,,-0.43897865532513625,0.4343838839899683
ASX200,0.05241567780804752,0.1507652478882169,0.3476641901382373,,inf,,,-0.3653054101221639,0.3245685952978599
SENSEX,0.11671279190662523,0.16255546294834233,0.7179875089385017,,-23.20615034168565,,,-0.3807005445967568,0.43563253903269294
